,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
900,Coast Fire,True,2019-07-09 13:54:48,2017-12-14 12:59:00,Santa Barbara County Fire,,Santa Barbara,"off the 3500 Block of Highway 1, south east of Lompoc",14,100,,Santa Barbara County Fire,-120.414875,34.605358,Wildfire,2fa6f5ce-1c5b-4147-9f1f-9beb01c499af,https://www.fire.ca.gov/incidents/2017/12/14/coast-fire/,2018-01-09 13:49:00,2018-01-09,20171214,N,True,False
901,Riverbottom Fire,True,2019-07-09 13:52:05,2017-12-21 11:16:00,City of Riverside Fire Department,,Riverside,"Mission Inn Ave. and Redwood Dr., Riverside",45,100,,City of Riverside Fire Department,-117.38417,33.9885,Wildfire,e32c7957-8f4f-4ec1-a0f6-98085a2a7e89,https://www.fire.ca.gov/incidents/2017/12/21/riverbottom-fire/,2018-01-09 13:49:00,2018-01-09,20171221,N,False,False
902,Holiday Fire,True,2019-07-09 13:54:06,2017-12-28 20:51:00,Bureau of Indian Affairs,,El Dorado,"off Hwy 395, south of Gardnerville in Nevada",80,100,,Bureau of Indian Affairs,-119.61865,38.869036,Wildfire,d20645f2-81b9-450f-abc1-433b81bd7fea,https://www.fire.ca.gov/incidents/2017/12/28/holiday-fire/,2018-01-09 13:49:00,2018-01-09,20171228,N,False,False
938,Grant Fire,True,2019-10-25 09:01:35,2018-05-30 13:21:00,CAL FIRE Santa Clara Unit,,Alameda,"near Grant Line Rd and Mountain House Rd, Altamont Area ",484,100,,CAL FIRE Santa Clara Unit,-121.57918000000001,37.75375,Wildfire,503cf916-4f56-4be7-8083-730122f686dc,https://www.fire.ca.gov/incidents/2018/5/30/grant-fire/,2019-01-04 10:20:00,2019-01-04,20180530,N,True,False
994,Creek Fire,True,2019-10-25 09:25:32,2018-06-21 16:45:00,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"Suey Creek Road & Crystal Springs, east of Nipomo",10,100,,CAL FIRE San Luis Obispo Unit,-120.39295,35.05747,Wildfire,d752892a-9bdf-4b91-83f0-2d3f94c3f370,https://www.fire.ca.gov/incidents/2018/6/21/creek-fire/,2019-01-04 10:03:00,2019-01-04,20180621,N,True,False
998,Stoll Fire,True,2019-10-25 09:06:28,2018-06-23 12:52:00,CAL FIRE Tehama-Glenn Unit,,Tehama,"Stoll Rd & Baker Rd, west of Red Bluff",268,100,,"CAL FIRE Tehama-Glenn Unit, Unified Command with CAL FIRE and Red Bluff City Fire Department, Tehama County Fire, Tehama County Sheriffs, California Highway Patrol, Red Bluff Police Department, USFS, Willows Fire Department, Artois Fire Department, Orland Fire Protection District, Corning Fire Department, Hamilton Fire Department",-122.27573999999998,40.18395,Wildfire,72999057-198b-4cd2-a316-2e854ef9a7f8,https://www.fire.ca.gov/incidents/2018/6/23/stoll-fire/,2019-01-04 10:02:00,2019-01-04,20180623,N,True,False
999,Pawnee Fire,True,2019-10-25 09:04:59,2018-06-23 17:21:00,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Pawnee Rd & New Long Valley Rd, northeast of Clearlake Oaks ",15185,100,Walker Ridge Road at Highway 20,"CAL FIRE Sonoma-Lake-Napa Unit, Lake County OES, California Department of Corrections and Rehabilitation, California Conservation Corps, Bureau of Land Management, California Highway Patrol and PG&E.",-122.59848000000001,39.0674,Wildfire,25574325-cf1d-4191-bc3d-c50ed0a15f9c,https://www.fire.ca.gov/incidents/2018/6/23/pawnee-fire/,2019-01-04 10:01:00,2019-01-04,20180623,N,True,False
1005,Horse Fire,True,2019-10-25 09:26:38,2018-06-24 15:28:00,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,"Horseshoe Rd & Stagecoach Dr, near Copperopolis",80,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.68902,37.95766,Wildfire,f2d02439-f682-47e7-b6e9-6e51ca068c86,https://www.fire.ca.gov/incidents/2018/6/24/horse-fire/,2019-01-04 10:01:00,2019-01-04,20180624,N,True,False
1008,Waverly Fire,True,2019-10-25 09:32:06,2018-06-29 15:11:00,CAL FIRE Tuolumne-Calaveras Unit,,San Joaquin,"off North Waverly Road and North Shelton Road, east of Linden",12300,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.94548200000001,38.052054999999996,Wildfire,4efc7855-ecbf-4507-8435-399e23a91fef,https://www.fire.ca.gov/incidents/2018/6/29/waverly-fire/,2019-01-04 09:58:00,2019-01-04,20180629,N,True,False
1016,Hyatt Fire,True,2019-10-25 09:31:27,2018-06-27 15:09:00,CAL FIRE Lassen Modoc Unit,,Lassen,"Hyatt Ln and Standish Buntingville Rd, 5 miles east of Janesville",441,100,,CAL FIRE Lassen Modoc Unit,-120.45053,40.316137,Wildfire,218619b5-ad0c-4238-8e31-ab6d98932a73,https://www.fire.ca.gov/incidents/2018/6/27/hyatt-fire/,2019-01-04 09:59:00,2019-01-04,20180627,N,True,False
1023,County Fire,True,2019-10-25 09:35:15,2018-06-30 14:12:00,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Yolo",east of Lake Berryessa,90288,100,,"CAL FIRE Sonoma-Lake-Napa Unit, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol, California Conservation Corps, Yolo County OES, Yolo County Sheriff, Solano County Sheriff, Napa County Sheriff, PG&E, Bureau of Indian Affairs, Yocha Dehe Wintun Nation, Bureau of Land Management, United States Forest Service, California Air National Guard and California National Guard.",-122.18183,38.80583,Wildfire,97ff14e8-6d08-4214-ad3b-847fa3a0e84a,https://www.fire.ca.gov/incidents/2018/6/30/county-fire/,2019-01-04 09:57:00,2019-01-04,20180630,N,True,False
1028,West Fire,True,2019-10-25 09:43:52,2018-07-06 23:39:00,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",,San Diego,"off I-8 & West Willows Rd, Community of Alpine",504,100,All roads are opened.,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",-116.7311,32.833674,Wildfire,2a1c14d1-2a88-4564-bd09-585e09ffc9a7,https://www.fire.ca.gov/incidents/2018/7/6/west-fire/,2019-01-04 09:55:00,2019-01-04,20180706,N,True,False
1032,Klamathon Fire,True,2019-10-25 09:41:00,2018-07-05 12:31:00,CAL FIRE Siskiyou Unit,,Siskiyou,"off Klamathon Road and Copco Road, south of Hornbrook",38008,100,I-5 is open,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff’s Department, California Department of Corrections and Rehabilitation, Siskiyou County Office of Emergency Services, Bureau of Land Management, California Conservation Corps.",-122.534655,41.893332,Wildfire,d7e7eaca-5716-48b3-bd34-37acea282634,https://www.fire.ca.gov/incidents/2018/7/5/klamathon-fire/,2019-01-04 09:55:00,2019-01-04,20180705,N,True,False
1033,Irish Fire,True,2019-10-25 09:43:02,2018-07-06 14:42:00,CAL FIRE Amador - El Dorado Unit,,Amador,"off Irish Ridge Road and Carbondale Road, southeast of Plymouth",825,100,All roads are opened.,"CAL FIRE Amador - El Dorado Unit, Amador County FD, Amador County Sheriff, Sac Metro FD, Diamond Springs FD, CHP, USFS, ENF, Shingle Springs Miwok Tribe FD, Garden Valley Fire Protection District, PG&E, Sacramento Regional Incident Management Team",-120.95408,38.42623,Wildfire,be804253-e994-4f40-9e07-5c215533231c,https://www.fire.ca.gov/incidents/2018/7/6/irish-fire/,2019-01-04 09:54:00,2019-01-04,20180706,N,True,False
1036,Holiday Fire,True,2019-10-25 09:42:00,2018-07-06 20:40:00,Santa Barbara County Fire,,Santa Barbara,"off north Fairview Ave and Holiday Hill Road, City of Goleta",113,100,,Santa Barbara County Fire,-119.83138899999999,34.463889,Wildfire,76725105-a814-4e8d-bd5b-d0f2f1879dae,https://www.fire.ca.gov/incidents/2018/7/6/holiday-fire/,2019-01-04 09:54:00,2019-01-04,20180706,N,True,False
1054,Spring 2 Fire,True,2019-10-25 09:44:45,2018-07-09 16:46:00,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Pawnee Dr. and New Long Valley Dr., northeast of Clearlake ",80,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.59788999999999,39.06715,Wildfire,78eabcbb-32b9-4438-ab84-8eb65c044db7,https://www.fire.ca.gov/incidents/2018/7/9/spring-2-fire/,2019-01-04 09:51:00,2019-01-04,20180709,N,True,False
1076,Carder Fire,True,2019-10-25 09:45:58,2018-07-21 14:40:00,CAL FIRE Lake-Napa Unit,,Lake,"Adobe Creek Rd & Peterson Ln, Kelseyville",50,100,,CAL FIRE Lake-Napa Unit,-122.86854,38.91152,Wildfire,d7745759-07bd-40a7-a66c-003b174851b2,https://www.fire.ca.gov/incidents/2018/7/21/carder-fire/,2019-01-04 09:38:00,2019-01-04,20180721,N,True,False
1082,Carr Fire,True,2019-10-25 09:47:17,2018-07-23 13:15:00,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area",,"Shasta, Trinity","Hwy 299 and Carr Powerhouse Rd, Whiskeytown",229651,100,,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area, PG&E, CHP, CAL OES, Bureau of Land Management, CCC, CDCR",-122.62357,40.65428,Wildfire,240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d,https://www.fire.ca.gov/incidents/2018/7/23/carr-fire/,2019-01-04 09:37:00,2019-01-04,20180723,N,True,False
1089,Marsh Fire,True,2019-10-25 09:49:20,2018-07-25 14:41:00,Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire,,Contra Costa,"Marsh Creek Rd and  Bragdon way, east of Mount Diablo ",247,100,,"Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire, East Contra Costa Fire Protection District, Contra Costa County Fire Protection District, East Bay Regional Parks, Moraga Orinda Fire Protection District, San Ramon Valley Fire Protection District, Contra Costa County Sheriffs Office, California Highway Patrol, Contra Costa County Animal Services, Alameda County Fire Department and Marin County Fire Department.",-121.85847,37.89612,Wildfire,df681456-a50e-4400-a95a-77533a0978ba,https://www.fire.ca.gov/incidents/2018/7/25/marsh-fire/,2019-01-04 09:34:00,2019-01-04,20180725,N,True,False
1096,Wagner Fire,True,2019-10-25 10:10:14,2018-08-04 13:57:00,CAL FIRE Madera-Mariposa-Merced ,,Mariposa,"Texas Hill Rd and Bondurant Mine Rd, east of Coulterville",22,100,,CAL FIRE Madera-Mariposa-Merced ,-120.0545,37.69965,Wildfire,deb9364c-ab73-4661-b287-2ffc1797296e,https://www.fire.ca.gov/incidents/2018/8/4/wagner-fire/,2019-01-04 09:24:00,2019-01-04,20180804,N,True,False
1099,Ranch Fire (Mendocino Complex),True,2019-10-25 10:08:11,2018-07-27 12:05:00,USFS Mendocino National Forest ,,"Colusa, Glenn, Lake, Mendocino","off Highway 20 near Potter Valley, northeast of Ukiah ",410203,100,,"USFS Mendocino National Forest , Potter Valley Fire, Redwood Valley Fire, Ukiah Fire, California Office of Emergency Services, California Department of Corrections and Rehabilitation, Lake County Sheriff’s Office, Mendocino County Sheriff’s Office, Colusa County Sheriff’s Office, Glenn County Sheriff’s Office, California Highway Patrol, Pilsbury FPD, Australia and New Zealand Fire, Bureau of Land Management, Bureau of Indian Affairs, Department of Defense, US Fish and Wildlife, National Park Service, Hopland Fire, Lakeport Fire, PG&E, AT&T, California Conservation Corps, North Shore Fire, American Red Cross, Kelseyville Fire, California State Parks, Cal Water, Lake County Farm Bureau, Nevada Division of Forestry, Nevada Department of Corrections and additional agencies from throughout California and other States",-123.10336699999999,39.243283,Wildfire,90b0daf7-5d84-42d9-bb35-bb78d4faf950,https://www.fire.ca.gov/incidents/2018/7/27/ranch-fire-mendocino-complex/,2019-01-04 09:33:00,2019-01-04,20180727,N,True,False
1101,River Fire (Mendocino Complex),True,2019-10-25 10:07:14,2018-07-27 13:01:00,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,,"Colusa, Lake, Mendocino","Old River Rd, near Mile Marker Post 7.9, Hopland ",48920,100,,"Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest , Potter Valley Fire, Redwood Valley Fire, Ukiah Fire, California Office of Emergency Services, California Department of Corrections and Rehabilitation, California SR Patrol, Lake County Sheriff’s Office, Mendocino County Sheriff’s Office, Colusa County Sheriff’s Office, Glenn County Sheriff’s Office, California Highway Patrol, Australia and New Zealand Fire, Bureau of Land Management, Hopland Fire, Lakeport Fire, PG&E, AT&T, California Conservation Corps, and additional agencies from throughout California and other States.",-123.11971000000001,39.04786,Wildfire,af30fe23-6cfd-4fd6-b2d9-91648eeae814,https://www.fire.ca.gov/incidents/2018/7/27/river-fire-mendocino-complex/,2019-01-04 09:18:00,2019-01-04,20180727,N,True,False
1110,Steele Fire,True,2019-10-25 10:08:47,2018-07-28 16:30:00,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"off Arroyo Grande Drive and Steele Canyon Road, Capell",135,100,All roads are open.,"CAL FIRE Sonoma-Lake-Napa Unit, Vacaville District, Vacaville City, Dixon Fire, Fairfield Fire, Winters Fire, Suisun City Fire, Napa County Fire, CDCR.",-122.18353,38.51943,Wildfire,2410754e-b988-4f4f-b7ee-21f954c2bbf2,https://www.fire.ca.gov/incidents/2018/7/28/steele-fire/,2019-01-04 09:30:00,2019-01-04,20180728,N,True,False
1116,Omega Fire,True,2019-10-25 10:09:32,2018-08-01 14:40:00,CAL FIRE Amador - El Dorado Unit,,El Dorado,"off Omega Lane and Alpha Circle, west of Pilot Hill",66,100,,"CAL FIRE Amador - El Dorado Unit, ESDO, CHP, Cosumnes FD, Sac Metro, Folsom FD, Sac City FD, Santa Barbara FD, Garden Valley FD, Georgetown FD, El Dorado County FD, Wilton FD, Rescue FD, El Dorado Hills FD, Diamond Springs FD, AFPD, USFS, PG&E",-121.03918,38.82128,Wildfire,6e4ecf7a-2864-4fc6-85cb-9b2a0ac324df,https://www.fire.ca.gov/incidents/2018/8/1/omega-fire/,2019-01-04 09:27:00,2019-01-04,20180801,N,True,False
1119,Holy Fire,True,2019-10-25 10:12:42,2018-08-06 13:20:00,Cleveland National Forest,,Orange,"Holy Jim Canyon, west of N. Main Divide",23136,100,,Cleveland National Forest,-117.52055,33.698879999999996,Wildfire,5b9e5ea7-1f63-46dd-aabd-8cf407c6f4ba,https://www.fire.ca.gov/incidents/2018/8/6/holy-fire/,2019-01-04 09:23:00,2019-01-04,20180806,N,False,False
1155,Delta Fire,True,2019-10-25 10:17:21,2018-09-05 12:51:00,USFS Shasta-Trinity National Forest,,"Shasta, Trinity","I-5 and Lamoine, 2 miles NW of Lakehead ",63311,100,,USFS Shasta-Trinity National Forest,-122.43,40.9425,Wildfire,ba818380-4001-46a2-ac04-d5f322cdf3b9,https://www.fire.ca.gov/incidents/2018/9/5/delta-fire/,2019-01-04 09:07:00,2019-01-04,20180905,N,True,False
1167,Meyers Fire,True,2019-10-25 10:18:56,2018-09-20 12:39:00,"CAL FIRE Amador, El Dorado Unit",,El Dorado,Meyers Rd in Camino,12,100,,"CAL FIRE Amador, El Dorado Unit",-120.65671999999999,38.7448,Wildfire,9ea41d38-ee7c-4394-9ea8-cbf33e788f13,https://www.fire.ca.gov/incidents/2018/9/20/meyers-fire/,2019-01-04 09:03:00,2019-01-04,20180920,N,True,False
1192,Camp Fire,True,2019-11-15 09:30:48,2018-11-08 06:33:00,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS",,Butte,Pulga Road at Camp Creek Road near Jarbo Gap,153336,100,See Incident Update,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS, California Department of Transportation, California Department of Corrections and Rehabilitation, California Highway Patrol, California Office of Emergency Services, National Weather Service, California Conservation Corps, Butte County, City of Chico",-121.4347,39.8134,Wildfire,75dafe80-f18a-4a4a-9a37-4b564c5f6014,https://www.fire.ca.gov/incidents/2018/11/8/camp-fire/,2018-11-25 08:00:00,2018-11-25,20181108,N,True,False
1196,Hill Fire,True,2019-10-25 10:20:04,2018-11-08 14:03:00,"Unified Command: CAL FIRE, Ventura County Fire, Ventura Sheriff Dept, LA County Fire, LA City Fire, LA Sherriff Dept, LA Police Dept",,Ventura,"Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley",4531,100,,"Unified Command: CAL FIRE, Ventura County Fire, Ventura Sheriff Dept, LA County Fire, LA City Fire, LA Sherriff Dept, LA Police Dept, California Highway Patrol, Cal Trans, Southern California Edison, Southern California Gas Company, Camrosa Water District",-118.93444,34.22685,Wildfire,bc95da49-28a0-4e56-88d9-72e7455063c0,https://www.fire.ca.gov/incidents/2018/11/8/hill-fire/,2019-01-04 08:43:00,2019-01-04,20181108,N,True,False
1197,Woolsey Fire,True,2019-10-25 10:20:42,2018-11-08 14:24:00,Ventura County Fire Dept. and Los Angeles County Fire Dept.,,"Los Angeles, Ventura","E Street and Alfa Road Rd, South of Simi Valley",96949,100,,"Ventura County Fire Dept. and Los Angeles County Fire Dept., Southern California Edison, Southern California Gas Company, California Department of Corrections and Rehabilitation (CDCR), California Conservation Corps (CCC), California Department of Fish & Game, California Highway Patrol, Public Health Department, California State Parks, Caltrans, Ventura County Animal Control, LA County Animal Control, Office of Emergency Management, American Red Cross, Los Angeles Police Department, Los Angeles City Fire Department",-118.70128000000001,34.235,Wildfire,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,https://www.fire.ca.gov/incidents/2018/11/8/woolsey-fire/,2019-01-04 08:42:00,2019-01-04,20181108,N,True,False
1205,Peak Fire,True,2020-08-13 11:21:59,2018-11-12 10:06:00,Ventura County Fire Department,,Ventura,"off Highway 118 and Rocky Peak Road, east of Simi Valley",186,100,,Ventura County Fire Department,-118.64381589,34.26734825,Wildfire,c3b66e33-ef00-4874-a29b-b36640c16122,https://www.fire.ca.gov/incidents/2018/11/12/peak-fire/,2019-01-04 08:46:00,2019-01-04,20181112,N,True,False
1246,IronGate Fire,True,2019-07-03 13:12:42,2019-06-16 20:33:00,CAL FIRE Siskiyou Unit,,Siskiyou,"Deer Run Road, east of Iron Gate Reservoir",10,100,,CAL FIRE Siskiyou Unit,-122.40156999999999,41.946220000000004,Wildfire,fe63d965-9069-4a96-b9da-99d5fefdaa19,https://www.fire.ca.gov/incidents/2019/6/16/irongate-fire/,2019-06-21 14:23:00,2019-06-21,20190616,N,True,False
1262,Merced Fire ,True,2019-07-08 07:51:01,2019-06-29 15:09:52,CAL FIRE Madera- Mariposa- Merced Unit ,,Merced,"Off of Merced Fall Road and La Grange Road, East of Snelling",210,100,,,-120.242411,37.312877,Wildfire,cc06431a-5153-4f66-8ada-07af53c175c3,https://www.fire.ca.gov/incidents/2019/6/29/merced-fire/,2019-07-02 15:51:00,2019-07-02,20190629,N,True,False
1264,Coyote Fire,True,2019-07-08 07:51:09,2019-07-02 16:10:02,San Jose Fire,,Santa Clara,Northbound US 101 at Coyote Creek Golf Drive in San Jose,74,100,,,-121.69496799999999,37.189040000000006,Wildfire,be4489fb-f51f-4109-8132-c7a28e0d9995,https://www.fire.ca.gov/incidents/2019/7/2/coyote-fire/,2019-07-02 18:32:00,2019-07-02,20190702,N,False,False
1265,Hollow Fire,True,2019-07-08 07:50:42,2019-07-03 15:34:12,CAL FIRE Santa Clara Unit,,San Joaquin,"West Corral Hollow Road, Carnegie State Vehicular Recreational Area, southwest of Tracy",283,100,,,-121.53838200000001,37.632059999999996,Wildfire,89db8bb4-6e3b-4de7-b7d9-287c1a9032c0,https://www.fire.ca.gov/incidents/2019/7/3/hollow-fire/,2019-07-05 07:50:00,2019-07-05,20190703,N,True,False
1266,Bikeway Fire,True,2019-07-05 09:46:01,2019-07-05 09:46:01,CAL FIRE Santa Clara Unit,,Alameda,"Christensen Road, Near Bethany Reservoir ",25,100,,,-121.3697,37.469,Wildfire,65e8fbe1-5300-4c90-9f48-0e7bfe55b1bc,https://www.fire.ca.gov/incidents/2019/7/5/bikeway-fire/,2019-07-05 03:20:00,2019-07-05,20190705,N,True,False
1267,Fellow Fire,True,2019-07-08 07:51:17,2019-07-05 13:33:56,CAL FIRE Santa Clara Unit,,Contra Costa, Franklin Canyon Rd. ,24,100,,,-122.16201000000001,37.99837,Wildfire,bc3e7037-5022-4e6a-8a1f-925c7e9aafc8,https://www.fire.ca.gov/incidents/2019/7/5/fellow-fire/,2019-07-05 14:58:00,2019-07-05,20190705,N,True,False
1268,Ranch Fire,True,2019-07-08 07:51:24,2019-07-05 14:46:33,CAL FIRE Shasta-Trinity Unit,,Shasta,Near Yolla Bolla Rd & Roaring Creek in Igo,30,100,,,-122.767256,40.41741,Wildfire,65330473-c21f-446b-a6f4-7bd76bf0ebdc,https://www.fire.ca.gov/incidents/2019/7/5/ranch-fire/,2019-07-06 20:03:00,2019-07-06,20190705,N,True,False
